Species,Worked,Loo,K,Winfinity,tmax,tm,M,Lm,Temperature,ln_var,rho,ln_MASPS,ln_margsd,h,logitbound_h,ln_Fmsy_over_M,ln_Fmsy,ln_r,r,ln_G,G
Schedophilus_velaini,TRUE,3.92040665,-1.292463289,7.256690605,2.387513917,0.958351435,-0.804956268,3.330009015,14.96317138,-1.496118456,0.437336585,1.510741012,-0.579958647,0.728505359,0.975152558,0.944376915,0.126388809,-0.953129379,0.567384754,1.812243159,7.66306779
Hyperoglyphe_pringlei,TRUE,4.351130117,-1.732529655,8.538392247,2.767938467,1.361951568,-1.237564199,3.721466696,13.0619787,-1.901234406,0.521974704,0.933990375,-0.714231272,0.695114471,0.677648786,0.749961958,-0.524578565,-1.439577488,0.338761168,2.269002634,11.26683193
Pentapodus_vitta,TRUE,3.360645753,-0.591847408,5.61486289,1.692314421,0.251596094,0.083866669,2.696384719,25.65965521,-1.758455517,0.463791644,2.794943094,-0.663841016,0.812689162,1.745069694,1.426917711,1.509524093,-0.090115478,1.205748578,0.980248004,3.358212059
Psenopsis_humerosa,TRUE,3.654418547,-0.985366015,6.448910679,1.966959919,0.576546033,-0.401209766,3.053451525,15.94811399,-1.365076048,0.393947859,2.304504518,-0.547232255,0.789437194,1.484994032,1.268383866,0.857317039,-0.440427614,0.850233414,1.419750525,4.802698386
Stromateus_fiatola,TRUE,3.339944562,-0.532934272,5.826369432,1.888467723,0.364813353,-0.095815912,2.80974232,22.13145117,-0.808743031,0.337744985,2.626093254,-0.274665097,0.796180259,1.7014088,1.375975367,1.299224001,-0.197859133,1.138938881,1.088311107,3.641646092
Odax_cyanoallix,TRUE,3.647205279,-1.107903323,6.435933529,2.342643121,0.863924967,-0.699955083,3.103315561,16.00315148,-1.236953125,0.395875596,1.482253515,-0.452339252,0.709431812,0.842085465,0.8432159,0.13682587,-0.925233835,0.581141917,1.684200342,6.318704043
Epinephelus_adscensionis,TRUE,3.978248351,-1.568922047,7.546702779,2.624565999,1.579361926,-0.994362372,3.336169857,25.29079692,-3.200678947,0.815604209,1.851231176,-0.935127989,0.799795924,1.415815992,1.253703062,0.263993292,-0.94672472,0.438231672,2.096540344,8.316991272
Trachinotus_carolinus,TRUE,3.907172044,-0.84149482,7.287334229,1.947516756,0.412755159,-0.073748086,3.224027221,25.09624026,-1.653638609,0.431813093,1.963519089,-0.658717492,0.736691046,1.010212911,0.961695069,0.889905215,-0.464845497,0.866608342,1.152964349,3.688335822
Pampus_argenteus,TRUE,3.433325384,-0.684829809,6.459508416,2.072666854,0.530810781,-0.201152462,2.87449366,24.03070354,-0.950925978,0.429513726,3.210533708,-0.308060925,0.843944327,2.197213273,1.686470456,1.479344704,-0.070047348,1.184060093,1.228919286,3.638584994
Peprilus_simillimus,TRUE,2.982082789,-0.084344075,4.702132522,1.525090943,-0.037780591,0.292835636,2.521844185,21.76344993,-0.147771231,0.191103039,2.891090792,-0.024549075,0.793462201,1.67690287,1.357686191,1.641601946,0.027132598,1.370158745,0.719017146,2.314309032
Eucinostomus_melanopterus,TRUE,3.130441001,-0.527289464,5.052219228,1.64348589,0.128791806,0.144809146,2.46696223,24.76176374,-1.508043167,0.442890984,3.327208229,-0.551020223,0.853928754,2.163777955,1.679910095,1.842802817,0.133444264,1.395960061,0.889601034,2.816149818
Nebris_microps,TRUE,3.921943286,-1.065629291,7.110669288,2.204125383,0.782774945,-0.486292319,3.279492339,22.11722167,-1.962876363,0.483619736,1.265647628,-0.767240081,0.671108507,0.490263884,0.627481772,0.134199417,-0.947714521,0.554229346,1.530996648,5.448619589
Ariomma_indicum,TRUE,3.157275146,-0.175266856,5.286560492,1.638895438,0.109966404,0.232392934,2.670053413,25.16175557,-0.518816015,0.2703981,2.740236766,-0.189018803,0.788550558,1.504143448,1.278578508,1.498880704,-0.003556376,1.226320592,0.777038223,2.316225844
Parastromateus_niger,TRUE,3.612463774,-0.391814059,6.574912008,1.613196331,0.029387002,0.356052652,2.973663145,27.52322576,-1.101504847,0.338263534,2.646585459,-0.464587526,0.776329015,1.368565447,1.190400811,1.55937575,-0.023969181,1.210578776,0.713310564,2.153056048
Schilbe_mystus,TRUE,3.419215034,-0.868275386,4.825486219,1.551059397,0.400845307,-0.131640777,2.66447409,23.10901021,-3.132058862,0.577396207,1.590202818,-1.237955474,0.67066611,0.572099109,0.647462049,0.511945077,-0.700921943,0.719357162,1.197188259,3.454346964
Rachycentron_canadum,TRUE,4.848350895,-1.256709835,10.31293023,2.438456869,0.993161953,-0.888717122,4.152642109,23.54799283,-1.903474195,0.501378603,1.135428124,-0.754195917,0.690057912,0.699241365,0.745115904,-0.130346004,-1.093787208,0.454214681,1.841802397,6.416805788
Pholis_gunnellus,TRUE,3.211563182,-1.069296614,5.076958681,2.252626107,0.773622214,-0.662082657,2.719093265,11.41491025,-0.883850144,0.34146962,1.902928612,-0.325536016,0.754042617,1.210793313,1.087772224,0.403471268,-0.709594337,0.654795383,1.645967715,5.552143147
Peprilus_burti,TRUE,2.656698626,0.396779061,3.722484244,1.118160195,-0.467506913,0.761205895,2.225593941,24.96699797,0.208440629,0.104163006,3.332132173,0.141771494,0.812624559,1.916051744,1.499942195,2.261287304,0.333240913,1.717003475,0.274903331,1.3480293
Scatophagus_argus,TRUE,3.197247923,-0.197296149,5.133886138,1.517527337,0.034224438,0.276375127,2.635658736,26.97027698,-1.072449941,0.323358052,2.508674667,-0.415786095,0.752168327,1.323656201,1.138330215,1.45568231,-0.088360809,1.22089187,0.708922324,2.237217999
Monodactylus_argenteus,TRUE,3.656000186,-1.045852776,6.495822478,2.239392243,0.787203464,-0.573052024,3.068007226,19.41045884,-1.532272722,0.448869743,1.757583655,-0.529382561,0.735863754,1.089090659,0.999340202,0.441290229,-0.768099202,0.726740537,1.562595453,6.482839071
Chirodactylus_brachydactylus,TRUE,3.78085963,-1.391667308,6.924139791,2.94252521,1.348357167,-1.278402337,3.286125738,16.26938613,-1.211571359,0.438618149,0.411898354,-0.420049707,0.640229001,0.278729303,0.46396451,-0.830935614,-1.615668968,0.332436464,2.19937157,11.47158465
Pampus_chinensis,TRUE,3.636716382,-0.654503185,7.016309398,2.045028182,0.514307726,-0.166728932,3.05147979,26.25928062,-1.129014934,0.439808811,2.924589895,-0.392876239,0.819562602,1.938445445,1.525904087,1.364439085,-0.143946145,1.134009036,1.186961735,3.561768716
Cephalopholis_fulva,TRUE,3.497631154,-1.22112348,6.222791901,2.437485414,1.31737016,-0.623108698,2.916003088,26.8724951,-2.716507773,0.748846412,2.386293377,-0.815065143,0.816629112,1.657974224,1.390840461,0.78195104,-0.597260456,0.641109494,1.752379396,5.927199682
Irvineia_voltae,TRUE,3.401059353,-0.931669579,5.125864999,1.641777289,0.472187753,-0.132646938,2.630793386,24.64134234,-3.139226924,0.642582462,2.358001963,-1.118309399,0.764407828,1.429008801,1.199625815,1.041393153,-0.427543991,0.971923062,1.24847956,4.393678158
Schilbe_brevianalis,TRUE,3.32468492,-0.842771101,4.721189268,1.538015961,0.384555117,-0.060715842,2.548318097,25.66403709,-3.259733069,0.633935173,2.120504338,-1.213257897,0.735006536,1.122757054,1.009586684,0.955991483,-0.438129464,0.919539405,1.133263183,3.499300237
Argyrosomus_japonicus,TRUE,5.038819004,-2.345534736,10.58142834,3.57650076,2.115139758,-1.912018355,4.366016808,15.577304,-2.658279023,0.684368078,-0.732627466,-0.884334449,0.540353752,-0.406155613,-0.011804921,-1.93527126,-2.595659862,0.105387195,2.917725529,19.00889829
Nemadactylus_douglasii,TRUE,3.865598581,-1.626362895,7.214827931,3.419723793,1.729198009,-1.757105778,3.434157262,14.13761943,-0.993919444,0.43166065,-0.501384267,-0.33093565,0.568978556,-0.212705376,0.128137592,-1.658471631,-2.19482128,0.171729251,2.611922363,15.48435406
Tilodon_sexfasciatus,TRUE,3.927174207,-1.348816292,7.441936212,2.945317742,1.524576597,-1.131298975,3.451749337,20.25396209,-1.604808559,0.524686244,0.479785358,-0.52102979,0.626037528,0.190500023,0.385671402,-0.73954285,-1.638467047,0.346063637,2.127845651,10.49702084
Selenotoca_multifasciata,TRUE,3.444427366,-0.654505346,5.86770849,1.906474007,0.439935648,-0.181303115,2.868611611,22.89698561,-1.320206187,0.39098477,2.103980735,-0.458985183,0.738175059,1.131900666,1.017171514,0.877119801,-0.480408045,0.948701541,1.167139485,4.206064597
Odax_pullus,TRUE,3.644640063,-1.126001646,6.418465681,2.372758371,0.886302377,-0.73696898,3.113613966,15.00933996,-1.150817069,0.380418759,1.401947797,-0.442103,0.700712241,0.757931382,0.797694183,0.049402824,-0.956376504,0.502340513,1.723043963,5.885535633
Schilbe_intermedius,TRUE,3.524032993,-1.275714897,5.391909641,1.874412532,0.764155404,-0.416673156,2.675100587,26.44649969,-3.973766094,0.801884388,2.107798863,-1.339339335,0.74737947,1.239519263,1.080430788,0.658829773,-0.667025657,0.71902267,1.529606575,4.864953089
Stromateus_brasiliensis,TRUE,3.339944562,-0.532934272,5.826369432,1.888467723,0.364813353,-0.095815912,2.80974232,22.13145117,-0.808743031,0.337744985,2.626093254,-0.274665097,0.796180259,1.7014088,1.375975367,1.299224001,-0.197859133,1.138938881,1.088311107,3.641646092
Peprilus_paru,TRUE,2.982082789,-0.084344075,4.702132522,1.525090943,-0.037780591,0.292835636,2.521844185,21.76344993,-0.147771231,0.191103039,2.891090792,-0.024549075,0.793462201,1.67690287,1.357686191,1.641601946,0.027132598,1.370158745,0.719017146,2.314309032
Lonchurus_lanceolatus,TRUE,3.921943286,-1.065629291,7.110669288,2.204125383,0.782774945,-0.486292319,3.279492339,22.11722167,-1.962876363,0.483619736,1.265647628,-0.767240081,0.671108507,0.490263884,0.627481772,0.134199417,-0.947714521,0.554229346,1.530996648,5.448619589
Lonchurus_elegans,TRUE,3.921943286,-1.065629291,7.110669288,2.204125383,0.782774945,-0.486292319,3.279492339,22.11722167,-1.962876363,0.483619736,1.265647628,-0.767240081,0.671108507,0.490263884,0.627481772,0.134199417,-0.947714521,0.554229346,1.530996648,5.448619589
Peprilus_ovatus,TRUE,2.982082789,-0.084344075,4.702132522,1.525090943,-0.037780591,0.292835636,2.521844185,21.76344993,-0.147771231,0.191103039,2.891090792,-0.024549075,0.793462201,1.67690287,1.357686191,1.641601946,0.027132598,1.370158745,0.719017146,2.314309032
Psenopsis_anomala,TRUE,3.462525253,-0.7638151,5.866149462,1.663557282,0.301098013,-0.109932655,2.853933099,16.65868667,-1.270537385,0.362645685,2.877153791,-0.541188452,0.833705208,1.862616597,1.507410361,1.374781958,-0.084925279,1.07567884,1.15618223,3.328474761
Pentapodus_nagasakiensis,TRUE,3.360645753,-0.591847408,5.61486289,1.692314421,0.251596094,0.083866669,2.696384719,25.65965521,-1.758455517,0.463791644,2.794943094,-0.663841016,0.812689162,1.745069694,1.426917711,1.509524093,-0.090115478,1.205748578,0.980248004,3.358212059
Hyperoglyphe_japonica,TRUE,4.351130117,-1.732529655,8.538392247,2.767938467,1.361951568,-1.237564199,3.721466696,13.0619787,-1.901234406,0.521974704,0.933990375,-0.714231272,0.695114471,0.677648786,0.749961958,-0.524578565,-1.439577488,0.338761168,2.269002634,11.26683193
Pentapodus_porosus,TRUE,3.360645753,-0.591847408,5.61486289,1.692314421,0.251596094,0.083866669,2.696384719,25.65965521,-1.758455517,0.463791644,2.794943094,-0.663841016,0.812689162,1.745069694,1.426917711,1.509524093,-0.090115478,1.205748578,0.980248004,3.358212059
Pentapodus_paradiseus,TRUE,3.360645753,-0.591847408,5.61486289,1.692314421,0.251596094,0.083866669,2.696384719,25.65965521,-1.758455517,0.463791644,2.794943094,-0.663841016,0.812689162,1.745069694,1.426917711,1.509524093,-0.090115478,1.205748578,0.980248004,3.358212059
Schedophilus_maculatus,TRUE,3.92040665,-1.292463289,7.256690605,2.387513917,0.958351435,-0.804956268,3.330009015,14.96317138,-1.496118456,0.437336585,1.510741012,-0.579958647,0.728505359,0.975152558,0.944376915,0.126388809,-0.953129379,0.567384754,1.812243159,7.66306779
Peprilus_snyderi,TRUE,2.982082789,-0.084344075,4.702132522,1.525090943,-0.037780591,0.292835636,2.521844185,21.76344993,-0.147771231,0.191103039,2.891090792,-0.024549075,0.793462201,1.67690287,1.357686191,1.641601946,0.027132598,1.370158745,0.719017146,2.314309032
Stromateus_stellatus,TRUE,3.339944562,-0.532934272,5.826369432,1.888467723,0.364813353,-0.095815912,2.80974232,22.13145117,-0.808743031,0.337744985,2.626093254,-0.274665097,0.796180259,1.7014088,1.375975367,1.299224001,-0.197859133,1.138938881,1.088311107,3.641646092
Raja_eglanteria,TRUE,4.431370473,-1.723290984,7.896121156,2.667633723,1.847527792,-1.244600115,4.0667622,12.3720975,-2.288815194,0.468078068,-1.508236135,-0.951822,0.392624812,-1.747246004,-1.116346918,-2.355814941,-3.040064566,0.099293295,2.338712819,10.81900319
Melanogrammus_aeglefinus,TRUE,4.19898488,-1.422347333,8.07464753,2.650785997,0.845790999,-1.096719658,3.612253576,8.576555578,-0.51929675,0.238837231,0.623435909,-0.228824786,0.65667487,0.293098223,0.569626236,-0.523913475,-1.226283341,0.297464125,1.986201496,7.343617637
Merluccius_australis,TRUE,4.675905982,-1.747126679,9.017546482,3.149743527,1.617565479,-1.508663419,4.15949093,10.38990024,-1.450273225,0.362133414,-1.672254413,-0.643825857,0.352153868,-1.669940128,-0.966215765,-2.472885572,-2.932563978,0.066600011,2.446776189,11.662774
Lampris_guttatus,TRUE,3.99277662,-1.430425291,7.211432805,2.354862204,1.140259796,-0.829325441,3.361285811,15.90709801,-2.339391953,0.562041189,1.385055918,-0.801547367,0.71393036,0.973266478,0.891557615,0.069626264,-1.119595556,0.62203178,1.876023308,9.363135496
Sebastes_norvegicus,TRUE,3.826330787,-2.339404212,6.94874788,4.017940132,2.508647653,-2.575403646,3.420091914,7.964380837,-1.69133523,0.607714358,-1.093410198,-0.573092223,0.58426038,-0.099675093,0.262104836,-2.307589518,-2.737470836,0.074434038,3.363852331,29.16378267
Sebastes_viviparus,TRUE,3.642228707,-2.111673725,6.471467922,3.806166317,2.290275725,-2.323768876,3.241854789,9.771455104,-1.536042149,0.581938525,-0.609228133,-0.510675367,0.623214812,0.134182461,0.424879296,-1.888996835,-2.38385525,0.107522916,3.118840385,23.23015165
Leucoraja_erinacea,TRUE,4.06156887,-1.493065073,6.757703382,2.448790625,1.688200412,-1.082451125,3.695871087,14.49468499,-2.429174215,0.497394355,-0.957259926,-0.994362896,0.432396598,-1.302209396,-0.732805369,-1.822294388,-2.55354387,0.135791089,2.162010488,8.893550356
Psammobatis_extenta,TRUE,4.665123751,-2.230186765,8.692971385,3.037789683,2.316046396,-1.67235537,4.150274955,15.16058376,-3.597216478,0.758494814,-1.152292022,-1.133345991,0.489968167,-0.980263739,-0.538724412,-2.197888554,-2.981573607,0.132002487,2.764704492,20.13977683
Lophius_americanus,TRUE,4.997012817,-2.709662432,10.58824415,2.855310321,1.752780238,-1.608250186,3.980256686,9.11987633,-4.211905202,0.980493716,3.144986353,-1.114994321,0.935471062,3.212769599,2.294778092,0.690869256,-0.87745112,0.463479754,2.719554223,15.57363447
Lophius_gastrophysus,TRUE,4.641819876,-2.272215659,9.438132967,2.531358371,1.464586485,-1.176930055,3.698215225,12.58373575,-3.92206011,0.904037438,3.201545611,-1.124567544,0.916932697,2.904656191,2.119946715,0.917645196,-0.664900231,0.615828078,2.339922774,11.53394517
Lophiomus_setigerus,TRUE,4.20537206,-1.897521842,8.030470273,2.381003336,1.252394157,-0.983094143,3.388045521,12.45280457,-3.191375568,0.755983284,2.852029387,-0.946929662,0.8799208,2.540552458,1.898464684,0.898141263,-0.628574154,0.744629881,2.104883572,10.61774959
Lophiodes_naresi,TRUE,4.20537206,-1.897521842,8.030470273,2.381003336,1.252394157,-0.983094143,3.388045521,12.45280457,-3.191375568,0.755983284,2.852029387,-0.946929662,0.8799208,2.540552458,1.898464684,0.898141263,-0.628574154,0.744629881,2.104883572,10.61774959
Lophiodes_caulinaris,TRUE,4.20537206,-1.897521842,8.030470273,2.381003336,1.252394157,-0.983094143,3.388045521,12.45280457,-3.191375568,0.755983284,2.852029387,-0.946929662,0.8799208,2.540552458,1.898464684,0.898141263,-0.628574154,0.744629881,2.104883572,10.61774959
Lophiodes_reticulatus,TRUE,4.20537206,-1.897521842,8.030470273,2.381003336,1.252394157,-0.983094143,3.388045521,12.45280457,-3.191375568,0.755983284,2.852029387,-0.946929662,0.8799208,2.540552458,1.898464684,0.898141263,-0.628574154,0.744629881,2.104883572,10.61774959
Lophiodes_triradiatus,TRUE,4.20537206,-1.897521842,8.030470273,2.381003336,1.252394157,-0.983094143,3.388045521,12.45280457,-3.191375568,0.755983284,2.852029387,-0.946929662,0.8799208,2.540552458,1.898464684,0.898141263,-0.628574154,0.744629881,2.104883572,10.61774959
Lophiodes_mutilus,TRUE,4.20537206,-1.897521842,8.030470273,2.381003336,1.252394157,-0.983094143,3.388045521,12.45280457,-3.191375568,0.755983284,2.852029387,-0.946929662,0.8799208,2.540552458,1.898464684,0.898141263,-0.628574154,0.744629881,2.104883572,10.61774959
Lophiodes_spilurus,TRUE,4.20537206,-1.897521842,8.030470273,2.381003336,1.252394157,-0.983094143,3.388045521,12.45280457,-3.191375568,0.755983284,2.852029387,-0.946929662,0.8799208,2.540552458,1.898464684,0.898141263,-0.628574154,0.744629881,2.104883572,10.61774959
Lophius_litulon,TRUE,4.641819876,-2.272215659,9.438132967,2.531358371,1.464586485,-1.176930055,3.698215225,12.58373575,-3.92206011,0.904037438,3.201545611,-1.124567544,0.916932697,2.904656191,2.119946715,0.917645196,-0.664900231,0.615828078,2.339922774,11.53394517
Zoarces_viviparus,TRUE,3.492390403,-1.380585601,5.402986243,2.241392562,0.908097869,-0.769255705,2.913696558,9.571017897,-1.750981846,0.418238879,1.130733715,-0.733450777,0.673916348,0.542853458,0.658548866,-0.113585412,-1.106837559,0.447511156,1.793370336,6.266718817
Gymnelus_viridis,TRUE,3.31571108,-1.426605802,5.199593227,2.391179687,1.008321417,-0.861569078,2.744590994,11.00188745,-1.684670528,0.477382397,1.756085942,-0.633427196,0.760389904,1.213961238,1.100457933,0.235699952,-0.874857398,0.522975378,1.879348606,6.85792008
Zoarces_americanus,TRUE,4.543968267,-2.164484607,8.751801842,2.939396437,1.654289284,-1.470209989,3.831234437,11.75684128,-2.845141445,0.656519995,0.346741565,-1.015697889,0.637661032,0.290219792,0.474076848,-1.006975643,-1.884580888,0.215213757,2.533336324,12.99568604
Merluccius_albidus,TRUE,3.835013001,-0.887536753,6.349178079,1.885029383,0.440630274,-0.276241045,3.173565068,17.92676188,-1.803526224,0.35660529,0.757996832,-0.82396923,0.570213957,-0.174526138,0.209044625,-0.070143524,-1.004791248,0.420977111,1.299913797,3.757305284
Pollachius_pollachius,TRUE,4.378025112,-1.575997285,8.633963477,2.553681928,1.150663555,-0.89046988,3.741376196,11.68533485,-1.761824557,0.480976962,1.548848006,-0.722838849,0.757251979,1.019637638,1.014812852,0.117519436,-0.956475394,0.432337002,1.951386071,7.249693985
Theragra_finnmarchica,TRUE,4.051656343,-1.34372475,7.320709264,2.392288285,0.895195081,-0.829945838,3.512511865,6.187766891,-0.937457653,0.272068877,0.820235592,-0.415016606,0.656535765,0.354077096,0.566119938,-0.247394949,-1.154933741,0.409480028,1.800712661,6.905569153
Decapterus_punctatus,TRUE,3.373358655,-0.12017951,5.322856376,1.228673512,-0.321381051,0.61531642,2.7431994,25.75261704,-1.046600505,0.227721158,2.110200694,-0.4938406,0.704137413,0.735666727,0.797777113,1.417787868,-0.104815923,1.094323164,0.449323793,1.634006489
Pollachius_virens,TRUE,4.747831655,-2.046704083,9.89247551,3.075943706,1.682074057,-1.453593032,4.113056811,8.711413311,-1.973521054,0.568906741,1.13466098,-0.782584902,0.794132512,1.097434472,1.093124431,-0.37016222,-1.335498302,0.267684146,2.491608512,12.21545321
Trachurus_trachurus,TRUE,3.65606311,-1.570787001,6.413237323,2.62042781,0.931104315,-0.906986168,2.985532736,13.78383776,-1.558619731,0.465135118,1.423178144,-0.640338188,0.753427666,0.938032956,0.973591505,0.063670187,-0.931572203,0.424924414,1.920474641,6.899074177
Caranx_rhonchus,TRUE,3.959667288,-1.262845969,7.616554755,2.177824753,0.700542376,-0.29372483,3.215034633,23.08481435,-2.140997156,0.575048277,2.605800408,-0.813042554,0.825004631,1.67188574,1.406849673,1.10358082,-0.346050853,0.80960396,1.447916223,4.447648062
Urophycis_chuss,TRUE,4.244269666,-1.806016034,7.918129542,2.587421252,1.388298947,-1.21149483,3.527069964,15.62746677,-2.949119632,0.679736027,1.210312988,-1.037498632,0.732278097,1.010303592,0.961029888,-0.252212607,-1.278960648,0.387521642,2.233430061,10.11341128
Leucoraja_garmani,TRUE,4.404041979,-1.824179909,7.782919131,2.709877336,1.975104716,-1.390689226,4.002552373,12.98174472,-2.74826583,0.562196436,-1.319591912,-1.05632944,0.432316587,-1.357823296,-0.792710367,-2.142061009,-2.862295031,0.117613203,2.421728621,12.4749698
Stenotomus_chrysops,TRUE,3.814641417,-1.640690675,7.236270082,2.68749652,1.246416209,-1.122301591,3.165244797,15.70316621,-1.955937836,0.605042699,2.246098263,-0.67828396,0.845440764,1.905007418,1.54397415,0.412081405,-0.777985683,0.534876616,2.125406254,8.670318382
