"","Species","Region","Indicator","Year","Value","rank","norm_rank"
"138","Butterfish","all","biomass_fall","mean of last 10 years vs historic mean",1.39019861656554,28,0.549019607843137
"139","Winter flounder","Southern New England / Mid-Atlantic","biomass_fall","mean of last 10 years vs historic mean",1.44012087286694,25,0.490196078431373
"140","Red hake","Southern Georges Bank / Mid-Atlantic","biomass_fall","mean of last 10 years vs historic mean",1.42029963023575,27,0.529411764705882
"141","Offshore hake","all","biomass_fall","mean of last 10 years vs historic mean",0.80188068610329,43,0.843137254901961
"142","Yellowtail flounder","Southern New England / Mid-Atlantic","biomass_fall","mean of last 10 years vs historic mean",0.631532029410885,47,0.92156862745098
"143","Windowpane","Southern New England / Mid-Atlantic","biomass_fall","mean of last 10 years vs historic mean",0.92667798962377,39,0.764705882352941
"144","Summer flounder","all","biomass_fall","mean of last 10 years vs historic mean",1.56292389035158,23,0.450980392156863
"145","Black sea bass","all","biomass_fall","mean of last 10 years vs historic mean",2.03674721979258,16,0.313725490196078
"146","Scup","all","biomass_fall","mean of last 10 years vs historic mean",1.42432901679805,26,0.509803921568627
"147","American lobster","Georges Bank / Southern New England","biomass_fall","mean of last 10 years vs historic mean",0.851600100952196,41,0.803921568627451
"148","Smooth dogfish","all","biomass_fall","mean of last 10 years vs historic mean",0.485878603930571,49,0.96078431372549
"149","American lobster","Georges Bank","biomass_fall","mean of last 10 years vs historic mean",2.27124973835811,14,0.274509803921569
"150","American lobster","Gulf of Maine","biomass_fall","mean of last 10 years vs historic mean",3.29928364471253,5,0.0980392156862745
"151","Rosette skate","all","biomass_fall","mean of last 10 years vs historic mean",2.71091535232285,10,0.196078431372549
"152","Clearnose skate","all","biomass_fall","mean of last 10 years vs historic mean",3.6765456600967,2,0.0392156862745098
"153","Jonah crab","Georges Bank / Southern New England","biomass_fall","mean of last 10 years vs historic mean",1.06545201131467,34,0.666666666666667
"154","Bluefish","all","biomass_fall","mean of last 10 years vs historic mean",0.38048540192331,51,1
"155","Jonah crab","Georges Bank","biomass_fall","mean of last 10 years vs historic mean",1.10182507137296,32,0.627450980392157
"156","Jonah crab","Gulf of Maine","biomass_fall","mean of last 10 years vs historic mean",1.34186787640292,29,0.568627450980392
"157","Winter skate","all","biomass_spring","mean of last 10 years vs historic mean",1.33485780472795,22,0.431372549019608
"158","Little skate","all","biomass_spring","mean of last 10 years vs historic mean",1.85006878160177,13,0.254901960784314
"159","Yellowtail flounder","Southern New England / Mid-Atlantic","biomass_spring","mean of last 10 years vs historic mean",0.331381088852548,49,0.96078431372549
"160","Winter flounder","Southern New England / Mid-Atlantic","biomass_spring","mean of last 10 years vs historic mean",0.793322657475989,36,0.705882352941177
"161","Ocean pout","all","biomass_spring","mean of last 10 years vs historic mean",0.325362101309256,50,0.980392156862745
"162","Goosefish","Southern Georges Bank / Mid-Atlantic","biomass_spring","mean of last 10 years vs historic mean",1.06745964102853,31,0.607843137254902
"163","Windowpane","Southern New England / Mid-Atlantic","biomass_spring","mean of last 10 years vs historic mean",0.633969618219504,43,0.843137254901961
"164","Spiny dogfish","all","biomass_spring","mean of last 10 years vs historic mean",1.39362736486903,20,0.392156862745098
"165","Alewife","all","biomass_spring","mean of last 10 years vs historic mean",1.28558407578273,25,0.490196078431373
"166","Silver hake","Southern Georges Bank / Mid-Atlantic","biomass_spring","mean of last 10 years vs historic mean",1.80704327810833,14,0.274509803921569
"167","Red hake","Southern Georges Bank / Mid-Atlantic","biomass_spring","mean of last 10 years vs historic mean",1.25995150225692,27,0.529411764705882
"168","Atlantic herring","all","biomass_spring","mean of last 10 years vs historic mean",2.20367914140068,10,0.196078431372549
"169","Atlantic mackerel","all","biomass_spring","mean of last 10 years vs historic mean",0.703127278001486,41,0.803921568627451
"170","Blueback herring","all","biomass_spring","mean of last 10 years vs historic mean",1.64889684086892,16,0.313725490196078
"171","Smooth dogfish","all","biomass_spring","mean of last 10 years vs historic mean",1.76278032808771,15,0.294117647058824
"172","Clearnose skate","all","biomass_spring","mean of last 10 years vs historic mean",2.38503133607019,9,0.176470588235294
"173","Summer flounder","all","biomass_spring","mean of last 10 years vs historic mean",1.88456702085267,12,0.235294117647059
"174","Butterfish","all","biomass_spring","mean of last 10 years vs historic mean",1.1698747222465,29,0.568627450980392
"175","Black sea bass","all","biomass_spring","mean of last 10 years vs historic mean",1.26378935331292,26,0.509803921568627
"176","Scup","all","biomass_spring","mean of last 10 years vs historic mean",1.25365444534211,28,0.549019607843137
"177","American lobster","Georges Bank / Southern New England","biomass_spring","mean of last 10 years vs historic mean",0.749378237883383,39,0.764705882352941
"178","Rosette skate","all","biomass_spring","mean of last 10 years vs historic mean",2.56191415813502,7,0.137254901960784
"179","Jonah crab","Georges Bank / Southern New England","biomass_spring","mean of last 10 years vs historic mean",0.176358652629239,51,1
"180","Offshore hake","all","biomass_spring","mean of last 10 years vs historic mean",0.619943791979978,44,0.862745098039216
"181","Barndoor skate","all","biomass_spring","mean of last 10 years vs historic mean",1.05141131492021,32,0.627450980392157
"182","American lobster","Georges Bank","biomass_spring","mean of last 10 years vs historic mean",2.7565328001135,6,0.117647058823529
"183","Thorny skate","all","biomass_spring","mean of last 10 years vs historic mean",0.546964186081395,45,0.882352941176471
"184","Atlantic cod","Georges Bank","biomass_spring","mean of last 10 years vs historic mean",0.752870867723124,38,0.745098039215686
"185","Haddock","Georges Bank","biomass_spring","mean of last 10 years vs historic mean",3.14452256108666,4,0.0784313725490196
"186","Pollock","all","biomass_spring","mean of last 10 years vs historic mean",1.30076896809777,24,0.470588235294118
"187","Yellowtail flounder","Georges Bank","biomass_spring","mean of last 10 years vs historic mean",0.72764421167469,40,0.784313725490196
"188","Smooth skate","all","biomass_spring","mean of last 10 years vs historic mean",1.62750464192308,17,0.333333333333333
"189","American plaice","all","biomass_spring","mean of last 10 years vs historic mean",1.06987540149163,30,0.588235294117647
"190","Windowpane","Gulf of Maine / Georges Bank","biomass_spring","mean of last 10 years vs historic mean",0.511444924086282,46,0.901960784313726
"191","Winter flounder","Georges Bank","biomass_spring","mean of last 10 years vs historic mean",1.02343204616938,33,0.647058823529412
"192","Atlantic cod","Gulf of Maine","biomass_spring","mean of last 10 years vs historic mean",0.835727179731995,35,0.686274509803922
"193","Haddock","Gulf of Maine","biomass_spring","mean of last 10 years vs historic mean",4.39939902660694,2,0.0392156862745098
"194","Winter flounder","Gulf of Maine","biomass_spring","mean of last 10 years vs historic mean",1.98410568058919,11,0.215686274509804
"195","Atlantic wolffish","all","biomass_spring","mean of last 10 years vs historic mean",0.374702615146371,48,0.941176470588235
"196","Goosefish","Gulf of Maine / Northern Georges Bank","biomass_spring","mean of last 10 years vs historic mean",1.34983556917827,21,0.411764705882353
"197","Witch flounder","all","biomass_spring","mean of last 10 years vs historic mean",0.663865980092868,42,0.823529411764706
"198","Acadian redfish","all","biomass_spring","mean of last 10 years vs historic mean",1.33232485469944,23,0.450980392156863
"199","Silver hake","Gulf of Maine / Northern Georges Bank","biomass_spring","mean of last 10 years vs historic mean",7.93433812549879,1,0.0196078431372549
"200","White hake","all","biomass_spring","mean of last 10 years vs historic mean",0.841320543455479,34,0.666666666666667
"201","Red hake","Gulf of Maine / Northern Georges Bank","biomass_spring","mean of last 10 years vs historic mean",2.54277484218186,8,0.156862745098039
"202","Yellowtail flounder","Cape Cod / Gulf of Maine","biomass_spring","mean of last 10 years vs historic mean",3.48362898339794,3,0.0588235294117647
"203","Atlantic halibut","all","biomass_spring","mean of last 10 years vs historic mean",1.60622505356794,18,0.352941176470588
"204","American lobster","Gulf of Maine","biomass_spring","mean of last 10 years vs historic mean",3.10199647977983,5,0.0980392156862745
"205","Jonah crab","Georges Bank","biomass_spring","mean of last 10 years vs historic mean",0.76879058830326,37,0.725490196078431
"206","Bluefish","all","biomass_spring","mean of last 10 years vs historic mean",0.405378921829181,47,0.92156862745098
"207","Jonah crab","Gulf of Maine","biomass_spring","mean of last 10 years vs historic mean",1.57419390356899,19,0.372549019607843
"208","Spiny dogfish","all","avg_length_fall","mean of last 10 years vs historic mean",0.902940054613207,34,0.666666666666667
"209","Winter skate","all","avg_length_fall","mean of last 10 years vs historic mean",0.918862120254813,29,0.568627450980392
"210","Little skate","all","avg_length_fall","mean of last 10 years vs historic mean",0.969252877308122,19,0.372549019607843
"211","Alewife","all","avg_length_fall","mean of last 10 years vs historic mean",0.964440816385686,22,0.431372549019608
"212","Silver hake","Gulf of Maine / Northern Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.903541408293859,33,0.647058823529412
"213","Atlantic cod","Gulf of Maine","avg_length_fall","mean of last 10 years vs historic mean",0.927015674484883,26,0.509803921568627
"214","Haddock","Gulf of Maine","avg_length_fall","mean of last 10 years vs historic mean",0.70722723945693,49,0.96078431372549
"215","Pollock","all","avg_length_fall","mean of last 10 years vs historic mean",0.773303230433646,48,0.941176470588235
"216","White hake","all","avg_length_fall","mean of last 10 years vs historic mean",0.925962322182281,28,0.549019607843137
"217","Red hake","Gulf of Maine / Northern Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.899374274510339,35,0.686274509803922
"218","American plaice","all","avg_length_fall","mean of last 10 years vs historic mean",0.890753561520575,39,0.764705882352941
"219","Yellowtail flounder","Cape Cod / Gulf of Maine","avg_length_fall","mean of last 10 years vs historic mean",0.911313726498783,30,0.588235294117647
"220","Winter flounder","Gulf of Maine","avg_length_fall","mean of last 10 years vs historic mean",0.867975184938336,41,0.803921568627451
"221","Windowpane","Gulf of Maine / Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.897809477600275,37,0.725490196078431
"222","Ocean pout","all","avg_length_fall","mean of last 10 years vs historic mean",0.78928602399933,45,0.882352941176471
"223","Atlantic herring","all","avg_length_fall","mean of last 10 years vs historic mean",0.931594665557732,25,0.490196078431373
"224","Atlantic halibut","all","avg_length_fall","mean of last 10 years vs historic mean",1.00247350680214,11,0.215686274509804
"225","Acadian redfish","all","avg_length_fall","mean of last 10 years vs historic mean",0.910874538235296,31,0.607843137254902
"226","Goosefish","Gulf of Maine / Northern Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.698236436451195,51,1
"227","Barndoor skate","all","avg_length_fall","mean of last 10 years vs historic mean",0.96467099040502,21,0.411764705882353
"228","Witch flounder","all","avg_length_fall","mean of last 10 years vs historic mean",0.788421770500419,46,0.901960784313726
"229","Atlantic mackerel","all","avg_length_fall","mean of last 10 years vs historic mean",0.972566818916575,18,0.352941176470588
"230","Atlantic wolffish","all","avg_length_fall","mean of last 10 years vs historic mean",0.896346692352064,38,0.745098039215686
"231","American lobster","Gulf of Maine","avg_length_fall","mean of last 10 years vs historic mean",0.994491695500046,13,0.254901960784314
"232","Thorny skate","all","avg_length_fall","mean of last 10 years vs historic mean",0.838018726916301,42,0.823529411764706
"233","Smooth skate","all","avg_length_fall","mean of last 10 years vs historic mean",0.898757751585842,36,0.705882352941177
"234","Blueback herring","all","avg_length_fall","mean of last 10 years vs historic mean",0.975512925405572,17,0.333333333333333
"235","Haddock","Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.699658514788005,50,0.980392156862745
"236","Silver hake","Southern Georges Bank / Mid-Atlantic","avg_length_fall","mean of last 10 years vs historic mean",1.09034625804855,2,0.0392156862745098
"237","Yellowtail flounder","Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",1.06843778802732,4,0.0784313725490196
"238","Goosefish","Southern Georges Bank / Mid-Atlantic","avg_length_fall","mean of last 10 years vs historic mean",0.778050605645546,47,0.92156862745098
"239","Atlantic cod","Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.888418456049928,40,0.784313725490196
"240","Winter flounder","Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.991252110056232,14,0.274509803921569
"241","Butterfish","all","avg_length_fall","mean of last 10 years vs historic mean",1.01687732358751,9,0.176470588235294
"242","Winter flounder","Southern New England / Mid-Atlantic","avg_length_fall","mean of last 10 years vs historic mean",0.987677834637957,15,0.294117647058824
"243","Red hake","Southern Georges Bank / Mid-Atlantic","avg_length_fall","mean of last 10 years vs historic mean",0.978899192215542,16,0.313725490196078
"244","Offshore hake","all","avg_length_fall","mean of last 10 years vs historic mean",0.802136562960545,44,0.862745098039216
"245","Yellowtail flounder","Southern New England / Mid-Atlantic","avg_length_fall","mean of last 10 years vs historic mean",1.07388997399193,3,0.0588235294117647
"246","Windowpane","Southern New England / Mid-Atlantic","avg_length_fall","mean of last 10 years vs historic mean",0.961187844762976,23,0.450980392156863
"247","Summer flounder","all","avg_length_fall","mean of last 10 years vs historic mean",1.02588101536818,7,0.137254901960784
"248","Black sea bass","all","avg_length_fall","mean of last 10 years vs historic mean",1.19946881117512,1,0.0196078431372549
"249","Scup","all","avg_length_fall","mean of last 10 years vs historic mean",0.926490323236384,27,0.529411764705882
"250","American lobster","Georges Bank / Southern New England","avg_length_fall","mean of last 10 years vs historic mean",0.943313156589327,24,0.470588235294118
"251","American lobster","Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",1.06714429949033,5,0.0980392156862745
"252","Smooth dogfish","all","avg_length_fall","mean of last 10 years vs historic mean",0.907065260440996,32,0.627450980392157
"253","Rosette skate","all","avg_length_fall","mean of last 10 years vs historic mean",1.01231576958809,10,0.196078431372549
