PreySpecies,COMMON,LATIN,Frequency,SumOfWeight,PercentSumOfWeight
5030,corn,Zea spp.,1,0.482,0.071237598
5033,unidentified meat,unidentified meat,1,0.05,0.007389792
0500,short-browed mud shrimp,Gilvossius setimanus,1,0.946,0.139814871
1054,crab megalopa,Decapoda (megalope),1,0.095,0.014040605
1058,unidentified snapping shrimps,Alpheidae,1,0.2033,0.030046896
0971,unidentified zooplankton,unidentified zooplankton,1,0.069,0.010197913
0131,northern pipefish,Syngnathus fuscus,1,0.2109,0.031170144
1025,isopod (Politolana concharum),Politolana concharum,1,0.031,0.004581671
0677,cumacean (Diastylis bispinosa),Diastylis bispinosa,1,0.013,0.001921346
5015,interrupted turbonilla,Turbonilla interrupta,1,0.001,0.000147796
0070,spotted hake,Urophycis regia,1,4.136,0.611283622
0053,codlings,Urophycis spp.,1,0.081,0.011971464
0023,searobins (Prionotus spp.),Prionotus spp.,1,0.11,0.016257543
0017,Loligo squid,Loligo spp.,1,1.607,0.237507926
0013,kingfish (Menticirrhus spp.),Menticirrhus spp.,1,0.4036,0.059650404
5005,detritus,detritus,1,0.056,0.008276567
0004,butterfish,Peprilus triacanthus,1,0.906,0.133903037
0153,skilletfish,Gobiesox strumosus,1,0.65,0.0960673
0861,crabs - Callinectes spp.,Callinectes spp.,1,0.496,0.07330674
0816,Atlantic jackknife clam,Ensis directus,1,0.093,0.013745014
0612,lady crab,Ovalipes ocellatus,1,0.152,0.022464969
0611,coarse-hand lady crab,Ovalipes stephensoni,1,0.589,0.087051754
0605,common spider crab,Libinia emarginata,1,0.1334,0.019715966
0826,blood ark,Anadara ovalis,1,0.7,0.103457093
0828,unidentified sea cucumbers,Holothuroidea,1,0.15,0.022169377
0597,white shrimp,Litopenaeus setiferus,1,2.166,0.320125804
0798,polychaete (Terebellidae),Terebellidae,1,0.088,0.013006035
0518,calanoid copepod,calanoid copepod,1,0.002,0.000295592
0590,flat-browed mud shrimp,Upogebia affinis,1,1.4168,0.209397156
0526,isopod (Chiridotea spp.),Chiridotea spp.,1,0.263,0.038870308
0912,isopod (Idotea spp.),Idotea spp.,1,0.002,0.000295592
0573,estuarine long-eyed shrimp,Ogyrides alphaerostris,1,0.032,0.004729467
0002,black seabass,Centropristis striata,1,0.291,0.043008591
0742,New England dog whelk,Nassarius trivittatus,1,0.024,0.0035471
0725,Atlantic brief squid,Lolliguncula brevis,1,2.104,0.310962461
5021,slender tube builder,Corophium lacustre,1,0.036,0.00532065
0643,sea anemones,Actiniaria,1,0.307,0.045373325
0803,purplish tagelus,Tagelus divisus,1,0.667,0.09857983
0842,bent mussel,Ischadium recurvum,1,0.1012,0.01495694
