PreySpecies,COMMON,LATIN,Frequency,SumOfWeight,PercentSumOfWeight
6220,unidentified penaeid shrimp,Penaeidae,2,0.918,0.00547
0742,New England dog whelk,Nassarius trivittatus,2,1.120,0.00667
5944,Say mud crab,Dyspanopeus sayi,2,9.054,0.05392
0655,sea slater,Idotea balthica,2,0.117,0.00070
0675,"unidentified decapod (crabs, shrimp, lobsters)",Decapoda,2,8.367,0.04983
0559,isopod (Sphaeroma quadridentatum),Sphaeroma quadridentatum,2,0.096,0.00057
0933,unidentified ghost shrimps,Callianassidae,2,1.234,0.00735
0048,unidentified whelk,Melongenidae,2,14.138,0.08420
0960,unidentified mantis shrimp (Squillidae),Squilla spp.,2,0.758,0.00451
1052,stomatopod larva,Stomatopoda (larva),2,0.046,0.00027
5010,clam worm (Neanthes succinea),Neanthes succinea,2,0.285,0.00170
0888,stout tagelus,Tagelus plebeius,2,5.357,0.03190
0920,brittle star,Amphioplus abdita,2,0.379,0.00226
0875,sargassum swimming crab,Portunus sayi,2,1.696,0.01010
0005,Atlantic croaker,Micropogonias undulatus,2,0.283,0.00169
1008,amphipod (Haustoriidae),Haustoriidae,2,0.055,0.00033
1002,unidentified seagrasses,Zostera/Ruppia spp.,1,3.148,0.01875
0620,grass shrimp,Palaemonetes spp.,1,0.035,0.00021
0189,inshore lizardfish,Synodus foetens,1,74.324,0.44264
0512,midge flies,Chironomidae,1,3.078,0.01833
1049,common Atlantic slippersnail,Crepidula fornicata,1,0.180,0.00107
0542,"trash, plastic",plastic trash,1,0.005,0.00003
0820,clam (Macoma spp.),Macoma spp.,1,0.520,0.00310
0757,hairy hermit crab,Pagurus arcuatus,1,1.257,0.00749
0894,coal,coal,1,0.066,0.00039
0930,fishing lure,fishing lure,1,0.300,0.00179
0818,periwinkles,Littorina spp.,1,0.964,0.00574
0178,unidentified stingray (Dasyatis spp.),Dasyatis spp.,1,1.446,0.00861
5943,estuarine mud crab,Rhithropanopeus harrisii,1,3.139,0.01869
1089,burrow worms,Echiura,1,0.078,0.00046
1023,left-eye flounders (Etropus),Etropus spp.,1,0.555,0.00331
0696,bloodworm (Glycera sphyrbranchia),Glycera sphyrbranchia,1,2.850,0.01697
1048,stink bugs,Pentatomidae,1,0.105,0.00063
0755,unidentified brittle stars,Ophiuroidea,1,0.782,0.00466
0670,amphipod (Corophium crassicorne),Corophium crassicorne,1,0.035,0.00021
0939,limpet nudibranch,Doridella obscura,1,0.028,0.00017
0870,mottled purse crab,Persephona mediterranea,1,0.941,0.00560
0558,arks,Anadara spp.,1,0.237,0.00141
0667,trumpet worm,Pectinaria gouldi,1,0.138,0.00082
0798,polychaete (Terebellidae),Terebellidae,1,0.938,0.00559
0957,plant seed,plant seed,1,1.465,0.00872
5002,unidentified flatfish,Pleuronectiformes,1,4.443,0.02646
1168,unidentified skate (Rajidae Family),Rajidae (Family),1,0.520,0.00310
6142,"blue crab, juvenile female","Callinectes sapidus, juv fem",1,0.752,0.00448
5004,gravel,gravel,1,0.615,0.00366
0825,bryozoans/dead man fingers,Alcyonidium spp.,1,0.274,0.00163
1158,brown-band wentletrap,Epitonium rupicola,1,0.011,0.00007
1112,mantis shrimp (Nannosquilla grayi),Nannosquilla grayi),1,1.823,0.01085
0190,conger eel,Conger oceanicus,1,3.202,0.01907
5036,unidentified mollusc,Mollusca,1,4.435,0.02641
0197,fourbeard rockling,Enchelyopus cimbrius,1,2.590,0.01542
1105,spiny-headed worms,Acanthocephala,1,0.004,0.00002
0951,sea cucumber (Leptosynapta spp.),Leptosynapta spp.,1,1.101,0.00656
0961,egg case,egg case,1,2.099,0.01250
0952,berg-salmon gill worm,Lernaeenicus radiatus,1,0.019,0.00011
0496,unidentified echinoderm,Echinodermata,1,0.029,0.00017
1020,tagelus clams,Tagelus spp.,1,0.029,0.00017
1055,pipefishes and seahorse,Syngnathidae,1,0.147,0.00088
0858,spider crab,Anomalothir furcillatus,1,6.405,0.03814
0513,slender isopod,Cyathura polita,1,0.004,0.00002
1093,cusk eels,Ophidion,1,2.155,0.01283
0556,ivory barnacle,Balanus eburneus,1,0.108,0.00064
0247,Gulf Stream flounder,Citharichthys arctifrons,1,16.853,0.10037
0603,horseshoe crab,Limulus polyphemus,1,84.057,0.50060
1102,amphipod (Psammonyx nobilis),Psammonyx nobilis,1,0.037,0.00022
1068,Atlantic awningclam,Solemya velum,1,0.027,0.00016
1069,little & winter skates,Leucoraja spp.,1,1.886,0.01123
1036,polychaete (Asychis elongata),Asychis elongata,1,0.048,0.00029
0651,unidentified sea stars,Asteroidea,1,1.237,0.00737
1053,unidentified mussel,Mytilidae,1,0.002,0.00001
0567,fish eggs,Fish eggs,1,0.925,0.00551
0981,isopod (Synidotea laevidorsalis),Synidotea laevidorsalis,1,0.189,0.00113
5027,dove snails (Anachis spp.),Anachis spp.,1,0.165,0.00098
0522,biting midge,Ceratopogonidae,1,1.189,0.00708
5013,amethyst gemclam,Gemma gemma,1,0.614,0.00366
0869,unidentified left-hand hermit crab,Diogenidae,1,3.688,0.02196
0085,triggerfishes,Balistes spp.,1,1.899,0.01131
0510,clam worm (Nereis spp.),Nereis spp.,1,0.875,0.00521
1169,unidentified sea urchin,Echinoidea,1,0.546,0.00325
0471,common puffers,Sphoeroides spp.,1,1.633,0.00973
0585,mud,Miscellaneous,1,0.138,0.00082
1095,Ovalipes lady crab,Ovalipes,1,4.514,0.02688
0009,bluefish,Pomatomus saltatrix,1,16.433,0.09787
0154,oyster toadfish,Opsanus tau,1,0.015,0.00009
0239,gray triggerfish,Balistes capriscus,1,3.600,0.02144
0623,shrimp (Acetes spp.),Acetes spp.,1,0.017,0.00010
0218,cunner,Tautogolabrus adspersus,1,1.587,0.00945
0551,hydroid (Sertularia spp.),Sertularia spp.,1,0.024,0.00014
1018,chameleon shrimp,Praunus flexuosus,1,0.025,0.00015
0808,sessile barnacles,Sessilia,1,0.143,0.00085
0022,sea scallop,Placopecten magellanicus,1,0.255,0.00152
0796,bony fishes,Teleostei,1,0.438,0.00261
0821,quahog clam,Mercenaria mercenaria,1,0.784,0.00467
0879,northern shortfin squid,Illex illecebrosus,1,6.548,0.03900
5028,barrel bubble,Acteocina canaliculata,1,0.004,0.00002
