"filename","line_number","column_number","type","message","line","linter"
"not-used\recreational-landings.Rmd",119,3,"style","Commented code should be removed.","# write.csv(rec_landings_1950_2019_clean, ""rec_landings_1950_2019_tidy.csv"")","commented_code_linter"
"risk-assessment.Rmd",15,3,"style","Place a space before left parenthesis, except in a function call.","if(nrow(risk_data) > 0){","spaces_left_parentheses_linter"
"risk-assessment.Rmd",15,23,"style","There should be a space between right parenthesis and an opening curly brace.","if(nrow(risk_data) > 0){","paren_brace_linter"
"temperature.Rmd",35,32,"style","Trailing whitespace is superfluous.","NEesp::plot_ecodata(hw_data %>% ","trailing_whitespace_linter"
"temperature.Rmd",39,32,"style","Trailing whitespace is superfluous.","NEesp::plot_ecodata(hw_data %>% ","trailing_whitespace_linter"
"temperature.Rmd",41,75,"style","Trailing whitespace is superfluous.","                      dplyr::mutate(Var = ""average maximum intensity"") %>% ","trailing_whitespace_linter"
"temperature.Rmd",44,55,"style","Trailing whitespace is superfluous.","                      dplyr::rename(Value = new_value) ","trailing_whitespace_linter"
"von_b.Rmd",4,3,"style","Commented code should be removed.","# install.packages(""ggrepel"")","commented_code_linter"
"von_b.Rmd",5,3,"style","Commented code should be removed.","# install.packages(""ggpubr"")","commented_code_linter"
"von_b.Rmd",6,3,"style","Commented code should be removed.","# devtools::install_github(""james-thorson/FishLife"")","commented_code_linter"
"von_b.Rmd",7,3,"style","Commented code should be removed.","# suppressPackageStartupMessages(library(FishLife))","commented_code_linter"
"von_b.Rmd",8,3,"style","Commented code should be removed.","# suppressPackageStartupMessages(library(tidyverse))","commented_code_linter"
"von_b.Rmd",9,3,"style","Commented code should be removed.","# suppressPackageStartupMessages(library(nlstools))","commented_code_linter"
"von_b.Rmd",10,3,"style","Commented code should be removed.","# library(rfishbase)","commented_code_linter"
"von_b.Rmd",11,3,"style","Commented code should be removed.","# library(ggpubr)","commented_code_linter"
"von_b.Rmd",12,3,"style","Commented code should be removed.","# library(FSA)","commented_code_linter"
"von_b.Rmd",13,3,"style","Commented code should be removed.","# library(NEesp)","commented_code_linter"
"von_b.Rmd",15,3,"style","Place a space before left parenthesis, except in a function call.","if(species == ""Monkfish"" |","spaces_left_parentheses_linter"
"von_b.Rmd",16,33,"style","There should be a space between right parenthesis and an opening curly brace.","   species == ""Blueback herring""){","paren_brace_linter"
"von_b.Rmd",31,5,"style","Commented code should be removed.","#   dplyr::filter(common_name == ""Black sea bass"")","commented_code_linter"
"von_b.Rmd",34,49,"style","Trailing whitespace is superfluous.","#add exception to monkfish as its aging is messy ","trailing_whitespace_linter"
"von_b.Rmd",35,3,"style","Place a space before left parenthesis, except in a function call.","if(unique(selected.surv.clean$common_name) == ""Monkfish""){","spaces_left_parentheses_linter"
"von_b.Rmd",35,57,"style","There should be a space between right parenthesis and an opening curly brace.","if(unique(selected.surv.clean$common_name) == ""Monkfish""){","paren_brace_linter"
"von_b.Rmd",36,22,"style","Put spaces around all infix operators.","  selected.surv.clean<-selected.surv.clean %>% slice_head( n =3)","infix_spaces_linter"
"von_b.Rmd",36,59,"style","Do not place spaces around code in parentheses or square brackets.","  selected.surv.clean<-selected.surv.clean %>% slice_head( n =3)","spaces_inside_linter"
"von_b.Rmd",36,62,"style","Put spaces around all infix operators.","  selected.surv.clean<-selected.surv.clean %>% slice_head( n =3)","infix_spaces_linter"
"von_b.Rmd",166,3,"style","Place a space before left parenthesis, except in a function call.","if(exists(""selected.surv.w.predicted"")){","spaces_left_parentheses_linter"
"von_b.Rmd",166,39,"style","There should be a space between right parenthesis and an opening curly brace.","if(exists(""selected.surv.w.predicted"")){","paren_brace_linter"
