Species,Region,Season,Year,Metric,Value,Units,Note
American plaice,Gulf of Maine / Georges Bank,NA,2005,Eco_link_data_rating,NA,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2008,Eco_link_data_rating,NA,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2012,Eco_link_data_rating,NA,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2015,Eco_link_data_rating,NA,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2017,Eco_link_data_rating,NA,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2005,FSSI,Y,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2008,FSSI,Y,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2012,FSSI,Y,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2015,FSSI,Y,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2017,FSSI,Y,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2005,Review_result,Full acceptance,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2008,Review_result,Full acceptance,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2012,Review_result,Full acceptance,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2015,Review_result,Full acceptance,qualitative,NA
American plaice,Gulf of Maine / Georges Bank,NA,2017,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2014,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2016,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2018,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2005,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2008,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2012,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2005,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2008,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2012,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2014,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2019,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,Bio_data_rating,2,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2014,Bio_data_rating,2,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,Bio_data_rating,2,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2016,Bio_data_rating,2,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,Bio_data_rating,2,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2018,Bio_data_rating,2,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2005,Bio_data_rating,4,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2008,Bio_data_rating,4,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2012,Bio_data_rating,4,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,Bio_data_rating,4,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,Bio_data_rating,4,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,Bio_data_rating,0,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2005,Bio_data_rating,4,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2008,Bio_data_rating,4,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2012,Bio_data_rating,4,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,Bio_data_rating,4,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2014,Bio_data_rating,4,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,Bio_data_rating,4,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,Bio_data_rating,4,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2019,Bio_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2014,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2016,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2018,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2005,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2008,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2012,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2005,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2008,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2012,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2014,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,Size_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2019,Size_data_rating,5,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2014,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2016,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2018,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2005,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2008,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2012,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2005,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2008,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2012,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2014,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2019,Eco_link_data_rating,0,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,FSSI,N,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2014,FSSI,N,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,FSSI,N,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2016,FSSI,N,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,FSSI,N,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2018,FSSI,N,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2005,FSSI,Y,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2008,FSSI,Y,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2012,FSSI,Y,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,FSSI,Y,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,FSSI,Y,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,FSSI,Y,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2005,FSSI,Y,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2008,FSSI,Y,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2012,FSSI,Y,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,FSSI,Y,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2014,FSSI,Y,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,FSSI,Y,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,FSSI,Y,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2019,FSSI,N,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2014,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2016,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2018,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2005,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2008,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2012,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,Review_result,Reject - Results too uncertain to be considered adequate,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2005,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2008,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2012,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2013,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2014,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2015,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2017,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Eastern Georges Bank,NA,2019,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2014,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2016,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2018,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2005,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2008,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2012,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2005,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2008,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2012,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2014,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2019,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,Bio_data_rating,2,qualitative,NA
Atlantic cod,Georges Bank,NA,2014,Bio_data_rating,2,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,Bio_data_rating,2,qualitative,NA
Atlantic cod,Georges Bank,NA,2016,Bio_data_rating,2,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,Bio_data_rating,2,qualitative,NA
Atlantic cod,Georges Bank,NA,2018,Bio_data_rating,2,qualitative,NA
Atlantic cod,Georges Bank,NA,2005,Bio_data_rating,4,qualitative,NA
Atlantic cod,Georges Bank,NA,2008,Bio_data_rating,4,qualitative,NA
Atlantic cod,Georges Bank,NA,2012,Bio_data_rating,4,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,Bio_data_rating,4,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,Bio_data_rating,4,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,Bio_data_rating,0,qualitative,NA
Atlantic cod,Georges Bank,NA,2005,Bio_data_rating,4,qualitative,NA
Atlantic cod,Georges Bank,NA,2008,Bio_data_rating,4,qualitative,NA
Atlantic cod,Georges Bank,NA,2012,Bio_data_rating,4,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,Bio_data_rating,4,qualitative,NA
Atlantic cod,Georges Bank,NA,2014,Bio_data_rating,4,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,Bio_data_rating,4,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,Bio_data_rating,4,qualitative,NA
Atlantic cod,Georges Bank,NA,2019,Bio_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2014,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2016,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2018,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2005,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2008,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2012,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2005,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2008,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2012,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2014,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,Size_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2019,Size_data_rating,5,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2014,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2016,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2018,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2005,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2008,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2012,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2005,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2008,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2012,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2014,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,Eco_link_data_rating,NA,qualitative,NA
Atlantic cod,Georges Bank,NA,2019,Eco_link_data_rating,0,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,FSSI,N,qualitative,NA
Atlantic cod,Georges Bank,NA,2014,FSSI,N,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,FSSI,N,qualitative,NA
Atlantic cod,Georges Bank,NA,2016,FSSI,N,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,FSSI,N,qualitative,NA
Atlantic cod,Georges Bank,NA,2018,FSSI,N,qualitative,NA
Atlantic cod,Georges Bank,NA,2005,FSSI,Y,qualitative,NA
Atlantic cod,Georges Bank,NA,2008,FSSI,Y,qualitative,NA
Atlantic cod,Georges Bank,NA,2012,FSSI,Y,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,FSSI,Y,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,FSSI,Y,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,FSSI,Y,qualitative,NA
Atlantic cod,Georges Bank,NA,2005,FSSI,Y,qualitative,NA
Atlantic cod,Georges Bank,NA,2008,FSSI,Y,qualitative,NA
Atlantic cod,Georges Bank,NA,2012,FSSI,Y,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,FSSI,Y,qualitative,NA
Atlantic cod,Georges Bank,NA,2014,FSSI,Y,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,FSSI,Y,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,FSSI,Y,qualitative,NA
Atlantic cod,Georges Bank,NA,2019,FSSI,N,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2014,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2016,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2018,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2005,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2008,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2012,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,Review_result,Reject - Results too uncertain to be considered adequate,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2005,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2008,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2012,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2013,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2014,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2015,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2017,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Georges Bank,NA,2019,Review_result,Full acceptance,qualitative,NA
Atlantic cod,Gulf of Maine,NA,2013,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Gulf of Maine,NA,2014,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Gulf of Maine,NA,2015,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Gulf of Maine,NA,2016,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Gulf of Maine,NA,2017,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Gulf of Maine,NA,2018,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Gulf of Maine,NA,2005,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Gulf of Maine,NA,2008,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Gulf of Maine,NA,2012,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Gulf of Maine,NA,2013,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Gulf of Maine,NA,2015,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Gulf of Maine,NA,2017,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Gulf of Maine,NA,2005,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Gulf of Maine,NA,2008,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Gulf of Maine,NA,2012,Bio_data_rating_2019,NA,qualitative,NA
Atlantic cod,Gulf of Maine,NA,2013,Bio_data_rating_2019,NA,qualitative,NA
