"","Stock Name","Jurisdiction","FMP","Science Center","Regional Ecosystem","FSSI Stock?","ITIS Taxon Serial Number","Scientific Name","Common Name","Stock Area","Assessment Year","Assessment Month","Last Data Year","Update Type","Review Result","Assessment Model","Model Version","Lead Lab","Citation","Final Assessment Report 1","Final Assessment Report 2","Point of Contact","Life History Data","Abundance Data","Catch Data","Assessment Level","Assessment Frequency","Assessment Type","Model Category","Catch Input Data","Abundance Input Data","Biological Input Data","Ecosystem Linkage","Composition Input Data","F Year","Estimated F","F Unit","F Basis","Flimit","Flimit Basis","Fmsy","Fmsy Basis","F/Flimit","F/Fmsy","Ftarget","Ftarget Basis","F/Ftarget","B Year","Estimated B","B Unit","B Basis","Blimit","Blimit Basis","Bmsy","Bmsy Basis","B/Blimit","B/Bmsy","MSY","MSY Unit"
"17","Blacktip shark - Gulf of Mexico","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","Y",160318,"Carcharhinus limbatus","Blacktip shark","Gulf of Mexico",2018,9,2016,"Full Update","Full acceptance","State-space age-structured production model","See Comments","SEFSC","Data input in SIS represents the base model run (Base) with updated recreational catches obtained from the new calibrated MRIP estimates (see Table 6, Panel B of NMFS. 2018. Update Assessment to SEDAR 29 HMS Gulf of Mexico Blacktip Shark; Addendum and Post-Review Updates. DOC/NOAA/NMFS SEDAR, 4055 Faber Place Drive, Suite 201, North Charleston, SC 29405. Available at http://sedarweb.org/addendum-2018-update-sedar-29-hms-gulf-mexico-blacktip-shark Last accessed 3/11/2019)","SEDAR 29 Update - HMS Gulf of Mexico Blacktip shark",NA,"Enric Cortes, Xinsheng Zhang",2,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,2016,NA,"Instantaneous annual F averaged across ages","apical F (max F at age)",0.0869999974966049,"Fmsy",NA,"Direct estimate",NA,NA,NA,NA,NA,2016,NA,"The sum of numbers at age times pup production at ageÀ","Spawning stock fecundity",12223000,"(1-M)*Bmsy (using mean of M at age values)",14431000,"Based on Beverton-Holt stock-recruit relationship",NA,NA,NA,NA
"18","Blue marlin - Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",172491,"Makaira nigricans","Blue marlin","Atlantic",2006,5,2004,"Full Update","Full acceptance","CPUE trend analysis",NA,"ICCAT-SCRS","http://www.iccat.int/Documents/SCRS/DetRep/Drafts/SCRS-2006-012-draft.pdf",NA,NA,"Victor Restrepo",1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fmsy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Blue marlin - Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",172491,"Makaira nigricans","Blue marlin","Atlantic",2011,10,2009,"Full Update","Full acceptance","Stock Synthesis version 3.20b
ASPIC","Stock Synthesis version 3.20b","ICCAT-SCRS","http://www.iccat.int/Documents/Meetings/Docs/2011_BUM_ASSESS_ENG.pdf","REPORT OF THE 2011 BLUE MARLIN STOCK ASSESSMENT AND WHITE MARLIN DATA PREPARATORY MEETING",NA,"Shannon Cass-Calay, Craig Brown",2,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,2009,NA,"Instantaneous annual F averaged across ages","apical F (max F at age)",NA,"Fmsy",NA,"Direct estimate",NA,1.63300001621246,NA,"Fmsy",NA,2009,NA,NA,NA,NA,NA,NA,"Direct Estimate",NA,0.670000016689301,2837.30004882812,"mt"
"20","Blue marlin - Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",172491,"Makaira nigricans","Blue marlin","Atlantic",2018,10,2016,"Full Update","Full acceptance","SS","JABBA, SS3","ICCAT-SCRS","https://www.iccat.int/Documents/Meetings/Docs/2018/REPORTS/2018_BUM_SA_ENG.pdf","Executive summary of blue marlin assessment",NA,"Michael Shirripa, Craig Brown",2,1,2,4,1,"Research & Operational",5,2,2,NA,1,3,2016,NA,"Instantaneous annual F averaged across ages","apical F (max F at age)",NA,"Fmsy",NA,"Direct estimate",NA,NA,NA,"Fmsy",NA,2016,NA,NA,"Spawning biomass",NA,NA,NA,"Direct Estimate",NA,NA,3056,"mt"
"21","Blue shark - North Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",160424,"Prionace glauca","Blue shark","North Atlantic",2008,10,NA,"Benchmark","Full acceptance","BSP, age-structured catch-free production model (ASCFM), and Bayesian age-structured model",NA,"ICCAT","http://www.iccat.int/Documents/Meetings/Docs/2008_SHK_Report.pdf",NA,NA,"Enric Cortes",2,2,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fmsy",NA,NA,NA,NA,NA,"Fmsy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Blue shark - North Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",160424,"Prionace glauca","Blue shark","North Atlantic",2015,11,2013,"Benchmark","Full acceptance","Two models were evaluated, a Bayesian surplus production model (BSP), and a length-based age-structured model conducted in Stock Synthesis version 3.24U (SS3).","version 3.24U (SS3)","ICCAT","ICCAT 2015 Assessment Report: http://www.iccat.int/Documents/Meetings/Docs/2015_BSH%20ASSESS_REPORT_ENG.pdf; ICCAT SCRS 2015 Annual Report http://www.iccat.int/Documents/Meetings/SCRS2015/SCRS_PROV_ENG.pdf",NA,NA,"Enric Cortes/Dean Courtney",2,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Bluefin tuna - Western Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",172421,"Thunnus thynnus","Bluefin tuna","Western Atlantic",2006,6,2004,"Full Update","Full acceptance","VPA-2box",NA,"ICCAT-SCRS","http://www.iccat.int/Documents/SCRS/DetRep/Drafts/SCRS-2006-013%20Draft.pdf","REPORT OF THE 2006 ATLANTIC BLUEFIN TUNA STOCK ASSESSMENT SESSION",NA,"Victor Restrepo",3,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2004,0.256000012159348,"Instantaneous annual F for age with maximum F","apical F (max F at age)",NA,"Fmsy",0.171000003814697,"Direct estimate",1.70000004768372,1.70000004768372,NA,"Fmsy",1.70000004768372,2004,6450,"mt","Spawning biomass",NA,"Bmsy",15800,NA,0.409999996423721,0.409999996423721,3200,NA
"24","Bluefin tuna - Western Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",172421,"Thunnus thynnus","Bluefin tuna","Western Atlantic",2008,10,2007,"Full Update","Full acceptance","VPA-2box",NA,"ICCAT","http://www.iccat.int/Documents/Meetings/Docs/2008_BFT_STOCK_ASSESS_REP.pdf","REPORT OF THE 2008 ATLANTIC BLUEFIN TUNA STOCK ASSESSMENT SESSION",NA,"Clay Porch",2,1,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Bluefin tuna - Western Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",172421,"Thunnus thynnus","Bluefin tuna","Western Atlantic",2010,10,2009,"Full Update","Full acceptance","VPA-2box",NA,"ICCAT (SEFSC)","http://www.iccat.int/Documents/Meetings/Docs/2010_BFT_ASSESS_REP_ENG.pdf","REPORT OF THE 2010 ATLANTIC BLUEFIN TUNA STOCK ASSESSMENT SESSION",NA,"Shannon Calay, Clay Porch",2,1,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0.119999997317791,"Annual Exploitation Rate","apical F (max F at age)",NA,"Fmsy",NA,"Direct estimate",1.14999997615814,1.14999997615814,NA,"Fmsy",1.14999997615814,2009,14020,"adult spawners (hatchery + natural)","Spawning biomass",NA,NA,NA,"Direct Estimate",0.479999989271164,0.479999989271164,4220,"mt"
"26","Bluefin tuna - Western Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",172421,"Thunnus thynnus","Bluefin tuna","Western Atlantic",2012,10,2011,"Full Update","Full acceptance","VPA-2box",NA,"ICCAT (SEFSC)","http://www.iccat.int/Documents/Meetings/Docs/2012_BFT_ASSESS.pdf","REPORT OF THE 2012 ATLANTIC BLUEFIN TUNA STOCK ASSESSMENT SESSION",NA,"Shannon Calay, Clay Porch",2,1,4,4,2,NA,NA,NA,NA,NA,NA,NA,2010,0.100000001490116,"Annual Exploitation Rate","apical F (max F at age)",0.119999997317791,"Fmsy",0.119999997317791,"Direct estimate",0.949999988079071,0.949999988079071,0.119999997317791,"Fmsy",0.949999988079071,2011,18235,"adult spawners (hatchery + natural)","Spawning biomass",37980,"BMSY",37970,"Direct Estimate",0.639999985694885,0.639999985694885,3986,"mt"
"27","Bluefin tuna - Western Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",172421,"Thunnus thynnus","Bluefin tuna","Western Atlantic",2014,10,2013,"Full Update","Full acceptance","VPA-2box SEE COMMENTS!!!",NA,"ICCAT (SEFSC)","http://www.iccat.es/Documents/Meetings/Docs/2014-SCRS-REP_ENG.pdf","REPORT OF THE 2014 ATLANTIC BLUEFIN TUNA STOCK ASSESSMENT SESSION",NA,"Matthew Lauretta, Clay Porch",2,1,4,4,2,NA,NA,NA,NA,NA,NA,NA,2013,NA,"Annual Exploitation Rate","apical F (max F at age)",NA,"Fmsy",NA,"Direct estimate",NA,NA,NA,"Fmsy",NA,2013,NA,"adult spawners (hatchery + natural)","Spawning biomass",NA,"BMSY",NA,"Direct Estimate",NA,NA,NA,"mt"
"28","Bluefin tuna - Western Atlantic","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",172421,"Thunnus thynnus","Bluefin tuna","Western Atlantic",2017,10,2015,"Full Update","Full acceptance","2 virtual population analysis (VPA), and 2 Stock Synthesis (SS)",NA,"ICCAT (SEFSC)","http://www.iccat.int/Documents/Meetings/Docs/2017_SCRS_REP_ENG.pdf","ADDENDUM TO THE DETAILED REPORT OF THE 2017 BLUEFIN TUNA STOCK ASSESSMENT SESSION","REPORT OF THE 2017 ICCAT BLUEFIN STOCK ASSESSMENT MEETING","John Walter, Clay Porch",2,1,4,4,2,NA,NA,NA,NA,NA,NA,NA,2015,NA,"Annual Exploitation Rate","apical F (max F at age)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,"adult spawners (hatchery + natural)","Total stock biomass",NA,NA,NA,NA,NA,NA,NA,"mt"
"29","Dusky shark - Atlantic and Gulf of Mexico","Atlantic HMS","Consolidated Atlantic Highly Migratory Species","SEFSC","Atlantic Highly Migratory","N",160268,"Carcharhinus obscurus","Dusky shark","Atlantic and Gulf of Mexico",2006,5,2003,"New","Full acceptance","BSP, State-space, age-structured catch-free production model (ASCFM), and Bayesian age-structured model",NA,"Panama City Laboratory (SEFSC)","Stock assessment of dusky shark in the U.S. Atlantic and Gulf of Mexico.  Sustainable Fisheries Division Contribution SFD-2006-014 and Panama City Laboratory Contribution 06-05.","Stock Assessment of Dusky Shark in the U.S. Atlantic and Gulf of Mexico",NA,"Enric Cortes",2,2,2,4,0,NA,NA,NA,NA,NA,NA,NA,2003,0.430000007152557,"Instantaneous annual F averaged across ages","apical F (max F at age)",0.00600000005215406,"Fmsy",0.00600000005215406,"Direct estimate",71.6669998168945,71.6669998168945,0.00499999988824129,"0.75*Fmsy",86,2003,1164,"mt","Total stock biomass",4740,"(1-M)*Bmsy",5320,"Based on Beverton Holt stock recruit relationship",0.24600000679493,0.218999996781349,0.150000005960464,NA
