"","Species","Region","Time","Value","Metric","long_term_sst_degreesC","summer_OI_SST_Anomaly_degreesC","summer_OI_SST_Anomaly_Black_sea_bass_north_spring_degreesC","fall_OI_SST_Anomaly_Black_sea_bass_north_spring_degreesC","summer_OI_SST_Anomaly_Black_sea_bass_spring_degreesC","Latitude_degreesN","Longitude_degreesW","along_shelf_distance_km","echino_100m3_annual","salps_100m3_annual","spirspp_100m3_annual","penilia_100m3_spring","spirspp_100m3_spring","poly_100m3_fall","spirspp_100m3_fall"
"11","Black sea bass","Mid",2000,7483,"Abundance",12.56635,-0.460984854696768,-0.25326380398413,-0.557281681322738,-0.43303175614178,40.67540363,-70.46292463,859.7844628,0.201469313606612,0.0687828061665766,0.0666725269473969,0.0248545690090205,0.148171830978962,0.587353234786011,0.000451490637457688
"12","Black sea bass","Mid",2001,9557,"Abundance",12.32448,0.0568221098416188,0.510949320626395,0.995951928465939,0.15629817478986,40.53551709,-70.56903206,842.540767,0.30357712291076,0.309220519033772,0.470704444757191,0.0247374944551473,1.0756245148571,0.154896251432854,-0.265356740987424
"13","Black sea bass","Mid",2002,10081,"Abundance",12.72396,0.497683471238748,0.549541013677992,0.744199802102573,0.480743683624478,40.71166794,-70.50113143,860.6596093,-0.0260593593469261,-0.101419495490555,-0.317771178339491,-0.00948056283747253,-0.726312293390608,-0.117682046934711,-0.145852070814975
"14","Black sea bass","Mid",2003,9580,"Abundance",11.47135,-0.382850163869673,0.2589809863013,0.019433752969892,-0.206483883718636,40.59326909,-70.49614997,851.666238,-0.0890679304526316,-0.0912168695506454,-0.375775976753682,0.00808283336886837,-0.536671116947985,0.178832632365286,-0.198594080584729
"15","Black sea bass","Mid",2004,8247,"Abundance",11.76854,0.115295996919485,-0.226927554900342,-0.410283093513323,-0.0970039695714533,40.43264261,-70.74083783,823.4554738,-0.34598615491193,-0.433269259612917,0.619337742887478,0.0504585193048121,1.0946818645538,-0.373115575906963,0.0300429892710662
"16","Black sea bass","Mid",2005,7771,"Abundance",12.17875,1.02076625856725,1.0502841362205,0.484379391532764,0.935273796631598,40.46426535,-70.5168912,839.2541229,0.438115689264292,-0.460763362355534,-0.320973781816368,-0.00479703373649129,-0.259345319862619,-0.33362667256251,-0.286153217969561
"17","Black sea bass","Mid",2006,6443,"Abundance",12.7249,0.27855741351496,0.454037703953979,0.728269987160406,0.279739289081682,40.65232782,-70.50544152,855.8629659,0.186917761876855,0.27018883886813,-0.0647280071226086,-0.0142620087689987,-0.395190660488227,0.382818876330336,0.0784582362024803
"18","Black sea bass","Mid",2007,6726,"Abundance",12.27521,0.498893873035069,0.00703747714174341,-0.372776777059235,0.194797761373358,40.522895,-70.4982223,844.7495694,-0.00142946466584722,-0.0835191464600124,-0.232674420852286,0.00822340243065945,0.0503511374009966,-0.246662213356317,-0.197529723169348
"19","Black sea bass","Mid",2008,9544,"Abundance",12.355,0.237781795492079,0.390176635721456,0.316008389433494,0.173036613829137,40.64940364,-70.47681277,856.632906,0.552189624264754,-0.00290189512722171,-0.180557133583774,0.117707891562638,-0.342241101572652,0.123473645165549,-0.100109657344821
"20","Black sea bass","Mid",2009,11125,"Abundance",12.33271,0.508458531436119,0.533127948557272,0.741286290728526,0.376202535550544,40.59044988,-70.54315837,848.6868181,0.14538855718602,0.0382321379056097,-0.238614167778127,0.0162497428063483,-0.354339119525399,-0.499370830525864,-0.3749682980695
"21","Black sea bass","Mid",2010,14061,"Abundance",12.97542,1.22219568595357,1.16239189222765,-0.192008824677458,1.04682718401895,40.54577301,-70.58712033,841.6310066,0.872329760132188,0.109021309172341,-0.399332974078521,-0.00781065849052631,-0.515356584374379,-0.168130123354209,-0.14555821519946
"22","Black sea bass","Mid",2011,14129,"Abundance",12.76406,0.741285713697074,0.540599614776152,1.55597317477931,0.551003724582653,40.48660363,-70.62489092,834.7560009,0.70865644992593,0.19634222012384,-0.573884238563696,0.00186501799608473,-0.993615692787178,0.161386824389211,-0.225045331199653
"23","Black sea bass","Mid",2012,16730,"Abundance",13.85292,1.81398287398117,2.1252415989207,1.70254295378033,1.82415518933886,40.79419136,-70.55718802,864.6159013,-0.0205364946203401,0.0414750425418985,-0.652329283319384,-0.0100330633810584,-0.809485488040893,0.398611079791029,-0.520114854051521
"24","Black sea bass","Mid",2013,23657,"Abundance",12.92344,0.255867333517767,0.678218943522875,0.955384816305397,0.267636924178376,40.7457291,-70.33436727,873.4671619,0.0924801919910166,0.0231763245417219,-0.80146865470019,0.0080647649769434,-1.08024564626083,0.661682759314657,-0.451662396984637
"25","Black sea bass","Mid",2014,34712,"Abundance",12.86229,0.807769217515482,1.15275696105903,1.56018159069501,0.793045540924052,41.068272,-70.09433965,914.2246527,1.09419186868004,0.329372334028869,-0.685332687383253,0.186812417472224,-1.2745263534044,0.230327980988087,-0.501605630236875
"26","Black sea bass","Mid",2015,33242,"Abundance",13.12031,1.92266649864881,2.24140295842645,1.81448924192183,1.90609724271015,40.70259772,-70.34962414,868.7240872,0.787837649655004,0.207673747336753,-0.73711957215269,0.116682120397862,-1.2457485970415,0.801705968638772,-0.433720871520793
"27","Black sea bass","Mid",2016,30736,"Abundance",13.83198,1.63302864414166,1.59675387883231,1.54160793100399,1.48634973849054,40.90619759,-70.35421539,885.7850977,0.328964607467258,0.126023962170273,-0.78063035394675,0.188486860570682,-1.17681559872771,0.916983447579136,-0.450818803748926
"28","Black sea bass","Mid",2017,26176,"Abundance",13.30688,0.273460730850378,0.303368985202226,1.52708494336483,0.104925715995478,40.70691058,-70.3220756,870.712551,0.13417995814226,-0.11308579269239,-0.959090458258065,0.0346587297449269,-1.0061827954876,0.735232880858293,-0.579278279994817
"29","Black sea bass","Mid",2018,33407,"Abundance",12.86521,1.47771293972095,1.53228081512091,0.354072211820821,1.32230529905875,40.51051092,-70.63165718,836.6749955,0.751060795110436,0.858552629268998,-0.725311782347176,0.12748350630859,-1.25029996437966,0.627722360308318,-0.503702172904527
